OBJECTID,lat,lon,id,score,label,ID_only,lon_1,lat_1,hue,saturation,lightness,edge,threshold,road,sidewalk,building,wall,fence,pole,traffic_li,traffic_si,vegetation,terrain,sky,person,rider,car,truck,bus,bicycle
1,31.49356212,120.2682087,1,,,1,120.2681785,31.49388079,0.506967295,0.349986731,0.494954197,0.14891277,0.338246493,18.69735718,5.318450928,5.03616333,0.0001,4.246520996,0.007629395,0.0001,0.106048584,25.29754639,1.777648926,33.74710083,0.015258789,0.0001,2.057647705,0.0001,0.20904541,0.0001
2,31.49356212,120.2682087,2,,,2,120.2682087,31.49356212,0.442114067,0.172285858,0.708259,0.200257667,0.199655766,24.92599487,4.566955566,10.27450562,0.34942627,0.343322754,0.18157959,0.0001,0.016021729,24.29733276,1.835632324,32.89794922,0.159454346,0.0001,0.151824951,0.0001,0.0001,0.0001
3,31.49284209,120.2682424,3,2.75,1,3,120.2682389,31.49324346,0.743137165,0.28412359,0.467299017,0.177287582,0.266249413,21.92764282,2.389526367,11.15264893,0.004577637,1.294708252,0.193786621,0.0001,0.0001,21.46072388,8.290863037,33.18557739,0.0001,0.0001,0.095367432,0.0001,0.0001,0.004577637
4,31.49284209,120.2682424,5,,,5,120.2682436,31.4927083,0.800393078,0.225216057,0.522039397,0.189416792,0.22264643,23.24676514,2.301025391,12.04681396,0.0001,0.969696045,0.519561768,0.0001,0.001525879,19.54269409,3.960418701,34.78012085,0.134277344,0.0001,2.409362793,0.0001,0.0001,0.087738037
5,31.49284209,120.2682424,4,,,4,120.2682412,31.49297588,0.771392166,0.282530005,0.465288902,0.168017848,0.270171596,21.20361328,2.978515625,11.78970337,0.01373291,0.595855713,0.201416016,0.0001,0.009155273,23.67248535,5.856323242,32.96356201,0.477600098,0.0001,0.234222412,0.0001,0.0001,0.003814697
6,31.49316877,120.2684653,3,2.75,1,3,120.2682389,31.49324346,0.743137165,0.28412359,0.467299017,0.177287582,0.266249413,21.92764282,2.389526367,11.15264893,0.004577637,1.294708252,0.193786621,0.0001,0.0001,21.46072388,8.290863037,33.18557739,0.0001,0.0001,0.095367432,0.0001,0.0001,0.004577637
7,31.49316877,120.2684653,7,,,7,120.2684731,31.49316622,0.730394079,0.31250471,0.417293881,0.149824032,0.299796589,21.76132202,3.112792969,10.27069092,0.0001,0.771331787,0.115203857,0.0001,0.0001,27.47421265,5.892944336,30.43289185,0.0001,0.0001,0.168609619,0.0001,0.0001,0.0001
8,31.4937607,120.2714751,9,,,9,120.2692475,31.49366631,0.502817759,0.260062971,0.570057536,0.254430618,0.269211913,22.58377075,4.85458374,10.48431396,0.0001,0.322723389,0.92010498,0.0001,0.003814697,27.74429321,3.056335449,29.92324829,0.0001,0.0001,0.106811523,0.0001,0.0001,0.0001
9,31.4937607,120.2714751,22,,,22,120.2723851,31.49219312,0.335314492,0.632070227,0.14710743,0.390648567,0.61843217,14.07470703,2.279663086,14.21966553,2.342224121,2.035522461,0.115966797,0.0001,0.0001,48.14605713,1.38092041,13.78631592,0.22354126,0.0001,1.39541626,0.0001,0.0001,0.0001
10,31.4937607,120.2714751,21,,,21,120.2723876,31.49251238,0.275466481,0.588888648,0.363721042,0.489441931,0.63904449,8.429718018,1.034545898,17.24777222,0.0001,0.050354004,0.141143799,0.0001,0.801086426,50.50048828,7.472229004,14.23721313,0.085449219,0.0001,0.0001,0.0001,0.0001,0.0001
