OBJECTID,lat,lon,id,score,label,ID_only,lon_1,lat_1,hue,saturation,lightness,edge,threshold,road,sidewalk,building,wall,fence,pole,traffic_li,traffic_si,vegetation,terrain,sky,person,rider,car,truck,bus,bicycle
1,31.49356212,120.2682087,1,,,1,120.2681785,31.49388079,0.506967295,0.349986731,0.494954197,0.14891277,0.338246493,0.538335628,0.286932057,0.07947983,0,0.12139864,0.001697772,0,0.024397773,0.327268986,0.053333545,0.540278049,0.002328517,0,0.201803007,0,0.174009997,0
2,31.49356212,120.2682087,2,,,2,120.2682087,31.49356212,0.442114067,0.172285858,0.708259,0.200257667,0.199655766,0.75044818,0.245569833,0.162152053,0.01521368,0.00981221,0.040921089,0,0.003666446,0.314329383,0.055073278,0.526681001,0.02447816,0,0.014881089,0,0,0
3,31.49284209,120.2682424,3,2.75,1,3,120.2682389,31.49324346,0.743137165,0.28412359,0.467299017,0.177287582,0.266249413,0.648341084,0.125724364,0.176011029,0.000195008,0.037010857,0.043673603,0,0,0.277632631,0.248755901,0.53128665,0,0,0.009343771,0,0,0.000654659
4,31.49284209,120.2682424,5,,,5,120.2682436,31.4927083,0.800393078,0.225216057,0.522039397,0.189416792,0.22264643,0.69326301,0.12085328,0.190122862,0,0.027719258,0.117131306,0,0.000328351,0.252819389,0.118825329,0.556819292,0.020610762,0,0.236299005,0,0,0.01281323
5,31.49284209,120.2682424,4,,,4,120.2682412,31.49297588,0.771392166,0.282530005,0.465288902,0.168017848,0.270171596,0.623684689,0.158142269,0.186065108,0.000593734,0.017031739,0.045393924,0,0.002085243,0.306245833,0.175710014,0.527731626,0.073348007,0,0.022962581,0,0,0.000543112
6,31.49316877,120.2684653,3,2.75,1,3,120.2682389,31.49324346,0.743137165,0.28412359,0.467299017,0.177287582,0.266249413,0.648341084,0.125724364,0.176011029,0.000195008,0.037010857,0.043673603,0,0,0.277632631,0.248755901,0.53128665,0,0,0.009343771,0,0,0.000654659
7,31.49316877,120.2684653,7,,,7,120.2684731,31.49316622,0.730394079,0.31250471,0.417293881,0.149824032,0.299796589,0.642677128,0.16553288,0.162091849,0,0.02204833,0.025954297,0,0,0.355428166,0.176808793,0.487209246,0,0,0.016527319,0,0,0
8,31.4937607,120.2714751,9,,,9,120.2692475,31.49366631,0.502817759,0.260062971,0.570057536,0.254430618,0.269211913,0.670685131,0.261400857,0.165463277,0,0.009223306,0.207448154,0,0.000855418,0.358922155,0.091699232,0.479048573,0,0,0.0104662,0,0,0
9,31.4937607,120.2714751,22,,,22,120.2723851,31.49219312,0.335314492,0.632070227,0.14710743,0.390648567,0.61843217,0.380914027,0.119677501,0.224415099,0.102003,0.058189595,0.026126329,0,0,0.622856486,0.04143011,0.220655786,0.034322445,0,0.136851756,0,0,0
10,31.4937607,120.2714751,21,,,21,120.2723876,31.49251238,0.275466481,0.588888648,0.363721042,0.489441931,0.63904449,0.188677284,0.051146384,0.272205086,0,0.001436685,0.031803388,0,0.184450651,0.653315382,0.224193621,0.227875782,0.013110354,0,0,0,0,0
11,31.4937607,120.2714751,20,,,20,120.2723901,31.49283162,0.320177837,0.590947759,0.436178896,0.414341378,0.625400303,0.17568656,0.071554548,0.140863896,0.098281559,0.038995682,0.04178125,0,0,0.700780331,0.048503497,0.349784988,0.027290813,0,0,0,0,0
12,31.4937607,120.2714751,19,,,19,120.2722957,31.49316935,0.227343862,0.651922238,0.378354884,0.604135244,0.693923747,0.231962379,0.290207441,0.014796581,0.06841035,0.216735677,0.008234992,0,0,0.660964651,0.260293076,0.231162041,0.079442088,0,0.000289507,0,0,0.009466834
13,31.4937607,120.2714751,18,,,18,120.2721758,31.49328963,0.262514419,0.549349795,0.331075376,0.42926722,0.615740886,0.50466367,0.443604602,0.017096377,0.018868667,0.103273479,0.015976436,0,0.002963689,0.585004941,0.183332791,0.228193413,0.223121783,0,0.149348137,0,0,0.051185236
14,31.4937607,120.2714751,10,,,10,120.2696031,31.49373202,0.532378976,0.27711378,0.601824122,0.223667672,0.30472018,0.599288108,0.259721172,0.057577591,0,0.036182029,0.05416756,0,0,0.377566632,0.158541598,0.555047889,0,0,0.038751422,0,0,0
15,31.4937607,120.2714751,12,,,12,120.2703141,31.49386344,0.511958131,0.314217953,0.566388431,0.236393917,0.317936682,0.661435735,0.14079953,0.081972278,0,0.000782347,0.136226868,0,0,0.389203391,0.244086092,0.494917905,0.009828925,0,0,0,0,0
16,31.4937607,120.2714751,11,,,11,120.2699586,31.49379773,0.301291173,0.730660416,0.255158903,0.630184766,0.680112659,0.331964977,0.286092215,0.314877728,0.132871024,0.037948742,0.0302551,0,0,0.61660876,0.076201875,0.113540852,0.01451668,0,0.019670122,0,0,0
17,31.4937607,120.2714751,14,,,14,120.2710252,31.49399486,0.678434266,0.254900378,0.68594704,0.143225239,0.277296198,0.613941646,0.136474343,0.088799419,0,0.013825483,0.009611248,0,0,0.267150665,0.284397532,0.643850176,0,0,0,0,0,0
18,31.4937607,120.2714751,13,3.2075,2,13,120.2706697,31.49392915,0.551988857,0.278353306,0.619140204,0.244532428,0.294361863,0.657928239,0.207147056,0.104332068,0,0.040129868,0.057264138,0,0.079915566,0.353523251,0.171406464,0.513254984,0.018501272,0,0.008445827,0,0,0
19,31.4937607,120.2714751,17,,,17,120.2718424,31.49351375,0.267308974,0.688755045,0.34265286,0.432566616,0.707161112,0.29078438,0.315234736,0.013712908,0.078012997,0.278832348,0.003246061,0,0.000679729,0.591104616,0.245230653,0.260457389,0.010414894,0,0.010092057,0,0,0
20,31.4937607,120.2714751,16,,,16,120.271509,31.49373787,0.406700715,0.401107105,0.539115551,0.325477627,0.403004225,0.388110889,0.480473671,0.09132799,0.013153597,0.153221275,0.136226868,0,0,0.391986738,0.140434642,0.466172303,0.058581578,0,0.033812733,0,0,0
21,31.4937607,120.2714751,15,,,15,120.2711757,31.49396199,0.400137835,0.420111968,0.449042677,0.335815737,0.41023314,0.474265375,0.353825481,0.155746341,0.053059406,0.135248793,0.006342639,0,0,0.413779752,0.095293154,0.390209636,0.08190316,0,0.03396239,0,0,0.056762562
